latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.185703,-78.491811,2816.236610412598,2020-05-20T05:15:59.000+0000,2020-05-20T05:15:59.000+0000,1.14,47169.92,30.00000190734863,0.0,2020-05-20,05:15:59,2020-05-20 05:15:59+00:00,0
-0.185703,-78.491811,2817.166786193848,2020-05-20T05:20:59.000+0000,2020-05-20T05:20:59.000+0000,0.0,47169.92,33.0,0.0,2020-05-20,05:20:59,2020-05-20 05:20:59+00:00,0
-0.185668,-78.491839,2824.588661193848,2020-05-20T05:25:59.000+0000,2020-05-20T05:25:59.000+0000,4.99,47174.91,36.0,0.0,2020-05-20,05:25:59,2020-05-20 05:25:59+00:00,0
-0.185668,-78.491839,2820.340858459473,2020-05-20T05:30:59.000+0000,2020-05-20T05:30:59.000+0000,0.0,47174.91,39.0,0.0,2020-05-20,05:30:59,2020-05-20 05:30:59+00:00,0
-0.185668,-78.491839,2819.695838928223,2020-05-20T05:36:00.000+0000,2020-05-20T05:36:00.000+0000,0.0,47174.91,42.0,0.0,2020-05-20,05:36:00,2020-05-20 05:36:00+00:00,0
-0.185654,-78.49188,2826.087440490723,2020-05-20T05:41:01.000+0000,2020-05-20T05:41:01.000+0000,4.82,47179.73,45.0,0.0,2020-05-20,05:41:01,2020-05-20 05:41:01+00:00,0
-0.185583,-78.491926,2827.754920959473,2020-05-20T05:46:01.000+0000,2020-05-20T05:46:01.000+0000,9.42,47189.15,48.0,0.0,2020-05-20,05:46:01,2020-05-20 05:46:01+00:00,0
-0.185561,-78.491907,2829.523963928223,2020-05-20T05:51:02.000+0000,2020-05-20T05:51:02.000+0000,3.24,47192.39,51.0,0.0,2020-05-20,05:51:02,2020-05-20 05:51:02+00:00,0
-0.185566,-78.491914,2829.598915100098,2020-05-20T05:56:03.000+0000,2020-05-20T05:56:03.000+0000,0.96,47193.35,52.99999618530273,0.0,2020-05-20,05:56:03,2020-05-20 05:56:03+00:00,0
-0.185574,-78.491913,2826.224159240723,2020-05-20T06:01:03.000+0000,2020-05-20T06:01:03.000+0000,0.9,47194.25,56.0,0.0,2020-05-20,06:01:03,2020-05-20 06:01:03+00:00,0
-0.185574,-78.491913,2828.250770568848,2020-05-20T06:06:03.000+0000,2020-05-20T06:06:03.000+0000,0.0,47194.25,58.99999618530273,0.0,2020-05-20,06:06:03,2020-05-20 06:06:03+00:00,0
-0.185623,-78.4919,2827.035926818848,2020-05-20T06:11:04.000+0000,2020-05-20T06:11:04.000+0000,5.64,47199.89,62.0,0.0,2020-05-20,06:11:04,2020-05-20 06:11:04+00:00,0
-0.185635,-78.491888,2827.293495178223,2020-05-20T06:16:04.000+0000,2020-05-20T06:16:04.000+0000,1.89,47201.78,65.0,0.0,2020-05-20,06:16:04,2020-05-20 06:16:04+00:00,0
-0.185642,-78.491877,2826.721473693848,2020-05-20T06:21:05.000+0000,2020-05-20T06:21:05.000+0000,1.45,47203.23,67.0,0.0,2020-05-20,06:21:05,2020-05-20 06:21:05+00:00,0
-0.185627,-78.491868,2825.488563537598,2020-05-20T06:26:06.000+0000,2020-05-20T06:26:06.000+0000,1.95,47205.18,70.0,0.5442752023172378,2020-05-20,06:26:06,2020-05-20 06:26:06+00:00,0
-0.185594,-78.491878,2822.445838928223,2020-05-20T06:31:06.000+0000,2020-05-20T06:31:06.000+0000,3.84,47209.02,73.0,0.0,2020-05-20,06:31:06,2020-05-20 06:31:06+00:00,0
-0.185484,-78.491854,2812.584510803223,2020-05-20T06:36:06.000+0000,2020-05-20T06:36:06.000+0000,12.53,47221.55,76.0,0.0,2020-05-20,06:36:06,2020-05-20 06:36:06+00:00,0
-0.185502,-78.491866,2820.658485412598,2020-05-20T06:41:07.000+0000,2020-05-20T06:41:07.000+0000,2.41,47223.96,79.0,0.0,2020-05-20,06:41:07,2020-05-20 06:41:07+00:00,0
-0.185502,-78.491866,2821.334754943848,2020-05-20T06:46:07.000+0000,2020-05-20T06:46:07.000+0000,0.0,47223.96,81.0,0.0,2020-05-20,06:46:07,2020-05-20 06:46:07+00:00,0
-0.185502,-78.491866,2821.405799865723,2020-05-20T06:51:07.000+0000,2020-05-20T06:51:07.000+0000,0.0,47223.96,84.0,0.0,2020-05-20,06:51:07,2020-05-20 06:51:07+00:00,0
-0.185537,-78.491887,2818.287391662598,2020-05-20T06:56:07.000+0000,2020-05-20T06:56:07.000+0000,4.54,47228.5,86.0,0.0,2020-05-20,06:56:07,2020-05-20 06:56:07+00:00,0
-0.18557,-78.491877,2815.397499084473,2020-05-20T07:01:08.000+0000,2020-05-20T07:01:08.000+0000,3.84,47232.34,89.0,0.0,2020-05-20,07:01:08,2020-05-20 07:01:08+00:00,0
-0.18559,-78.491889,2815.960487365723,2020-05-20T07:06:08.000+0000,2020-05-20T07:06:08.000+0000,2.6,47234.94,91.0,0.0,2020-05-20,07:06:08,2020-05-20 07:06:08+00:00,0
-0.185595,-78.491847,2816.928749084473,2020-05-20T07:11:08.000+0000,2020-05-20T07:11:08.000+0000,4.71,47239.65,92.0,0.0,2020-05-20,07:11:08,2020-05-20 07:11:08+00:00,0
-0.185589,-78.491847,2819.335975646973,2020-05-20T07:16:09.000+0000,2020-05-20T07:16:09.000+0000,0.67,47240.32,94.0,0.0,2020-05-20,07:16:09,2020-05-20 07:16:09+00:00,0
-0.185584,-78.491838,2821.922889709473,2020-05-20T07:21:10.000+0000,2020-05-20T07:21:10.000+0000,1.15,47241.47,95.0,0.0,2020-05-20,07:21:10,2020-05-20 07:21:10+00:00,0
-0.185584,-78.491833,2822.408973693848,2020-05-20T07:26:10.000+0000,2020-05-20T07:26:10.000+0000,0.56,47242.03,96.0,0.0,2020-05-20,07:26:10,2020-05-20 07:26:10+00:00,0
-0.185575,-78.491829,2820.932411193848,2020-05-20T07:31:10.000+0000,2020-05-20T07:31:10.000+0000,1.1,47243.13,97.0,0.0,2020-05-20,07:31:10,2020-05-20 07:31:10+00:00,0
-0.185566,-78.491747,2822.609413146973,2020-05-20T07:36:11.000+0000,2020-05-20T07:36:11.000+0000,9.18,47252.31,98.0,0.0,2020-05-20,07:36:11,2020-05-20 07:36:11+00:00,0
-0.185558,-78.491822,2824.799842834473,2020-05-20T07:41:12.000+0000,2020-05-20T07:41:12.000+0000,8.4,47260.71,98.0,0.0,2020-05-20,07:41:12,2020-05-20 07:41:12+00:00,0
-0.185548,-78.491861,2823.469764709473,2020-05-20T07:46:13.000+0000,2020-05-20T07:46:13.000+0000,4.48,47265.19,99.0,0.0,2020-05-20,07:46:13,2020-05-20 07:46:13+00:00,0
-0.185548,-78.491861,2820.279823303223,2020-05-20T07:51:13.000+0000,2020-05-20T07:51:13.000+0000,0.0,47265.19,100.0,0.0,2020-05-20,07:51:13,2020-05-20 07:51:13+00:00,0
-0.185489,-78.491758,2811.865272521973,2020-05-20T07:56:14.000+0000,2020-05-20T07:56:14.000+0000,13.21,47278.4,100.0,0.0,2020-05-20,07:56:14,2020-05-20 07:56:14+00:00,0
-0.185557,-78.491748,2815.771522521973,2020-05-20T08:01:14.000+0000,2020-05-20T08:01:14.000+0000,7.65,47286.05,100.0,0.0,2020-05-20,08:01:14,2020-05-20 08:01:14+00:00,0
-0.185557,-78.491748,2817.166053771973,2020-05-20T08:06:14.000+0000,2020-05-20T08:06:14.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:06:14,2020-05-20 08:06:14+00:00,0
-0.185557,-78.491748,2818.173866271973,2020-05-20T08:11:15.000+0000,2020-05-20T08:11:15.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:11:15,2020-05-20 08:11:15+00:00,0
-0.185557,-78.491748,2817.677040100098,2020-05-20T08:16:16.000+0000,2020-05-20T08:16:16.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:16:16,2020-05-20 08:16:16+00:00,0
-0.185557,-78.491748,2820.258338928223,2020-05-20T08:21:16.000+0000,2020-05-20T08:21:16.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:21:16,2020-05-20 08:21:16+00:00,0
-0.185557,-78.491748,2819.891395568848,2020-05-20T08:26:17.000+0000,2020-05-20T08:26:17.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:26:17,2020-05-20 08:26:17+00:00,0
-0.185557,-78.491748,2819.679481506348,2020-05-20T08:31:18.000+0000,2020-05-20T08:31:18.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:31:18,2020-05-20 08:31:18+00:00,0
-0.185557,-78.491748,2818.324256896973,2020-05-20T08:36:19.000+0000,2020-05-20T08:36:19.000+0000,0.0,47286.05,100.0,0.0,2020-05-20,08:36:19,2020-05-20 08:36:19+00:00,0
-0.185668,-78.491762,2816.414588928223,2020-05-20T08:41:19.000+0000,2020-05-20T08:41:19.000+0000,12.45,47298.5,100.0,0.0,2020-05-20,08:41:19,2020-05-20 08:41:19+00:00,0
